index,ingredient_a,ingredient_b,substitution_direction,similarity_score,substitution_reason
1,설탕,알룰로스,설탕 → 알룰로스,0.85,칼로리 절감
2,알룰로스,설탕,알룰로스 → 설탕,0.85,칼로리 절감
3,설탕,스테비아,설탕 → 스테비아,0.7,당분 제한
4,스테비아,설탕,스테비아 → 설탕,0.7,당분 제한
5,설탕,에리스리톨,설탕 → 에리스리톨,0.8,칼로리 절감
6,에리스리톨,설탕,에리스리톨 → 설탕,0.8,칼로리 절감
7,설탕,코코넛 슈가,설탕 → 코코넛 슈가,0.9,당분 제한
8,코코넛 슈가,설탕,코코넛 슈가 → 설탕,0.9,당분 제한
9,설탕,대추야자,설탕 → 대추야자,0.6,정제당 대체
10,대추야자,설탕,대추야자 → 설탕,0.6,정제당 대체
11,설탕,꿀,설탕 → 꿀,0.8,정제당 대체
12,꿀,설탕,꿀 → 설탕,0.8,정제당 대체
13,설탕,메이플시럽,설탕 → 메이플시럽,0.8,정제당 대체
14,메이플시럽,설탕,메이플시럽 → 설탕,0.8,정제당 대체
15,꿀,올리고당,꿀 → 올리고당,0.85,비건 대체
16,올리고당,꿀,올리고당 → 꿀,0.85,비건 대체
17,꿀,메이플시럽,꿀 → 메이플시럽,0.9,비건 대체
18,메이플시럽,꿀,메이플시럽 → 꿀,0.9,비건 대체
19,우유,두유,우유 → 두유,0.9,유당 프리
20,두유,우유,두유 → 우유,0.9,유당 프리
21,우유,아몬드 밀크,우유 → 아몬드 밀크,0.8,유당 프리
22,아몬드 밀크,우유,아몬드 밀크 → 우유,0.8,유당 프리
23,우유,코코넛밀크,우유 → 코코넛밀크,0.7,유당 프리
24,코코넛밀크,우유,코코넛밀크 → 우유,0.7,유당 프리
25,아몬드 밀크,귀리 우유,아몬드 밀크 → 귀리 우유,0.8,알레르기 대체
26,귀리 우유,아몬드 밀크,귀리 우유 → 아몬드 밀크,0.8,알레르기 대체
27,버터,마가린,버터 → 마가린,0.9,비건 대체
28,마가린,버터,마가린 → 버터,0.9,풍미 향상
29,버터,코코넛오일,버터 → 코코넛오일,0.85,비건 대체
30,코코넛오일,버터,코코넛오일 → 버터,0.85,풍미 향상
31,버터,사과소스,버터 → 사과소스,0.7,칼로리 절감
32,사과소스,버터,사과소스 → 버터,0.7,식감 향상
33,마요네즈,그릭요거트,마요네즈 → 그릭요거트,0.8,칼로리 절감
34,그릭요거트,마요네즈,그릭요거트 → 마요네즈,0.8,풍미 향상
35,사워크림,그릭요거트,사워크림 → 그릭요거트,0.9,칼로리 절감
36,그릭요거트,사워크림,그릭요거트 → 사워크림,0.9,풍미 향상
37,크림치즈,그릭요거트,크림치즈 → 그릭요거트,0.7,칼로리 절감
38,그릭요거트,크림치즈,그릭요거트 → 크림치즈,0.7,칼로리 절감
39,생크림,코코넛크림,생크림 → 코코넛크림,0.8,비건 대체
40,코코넛크림,생크림,코코넛크림 → 생크림,0.8,풍미 향상
41,생크림,우유,생크림 → 우유,0.6,칼로리 절감
42,우유,생크림,우유 → 생크림,0.6,농도 증대
43,달걀,아마씨 가루,달걀 → 아마씨 가루,0.7,비건 대체
44,아마씨 가루,달걀,아마씨 가루 → 달걀,0.7,비건 대체
45,달걀,바나나,달걀 → 바나나,0.5,비건 대체
46,바나나,달걀,바나나 → 달걀,0.5,비건 대체
47,달걀,치아씨,달걀 → 치아씨,0.6,비건 대체
48,치아씨,달걀,치아씨 → 달걀,0.6,비건 대체
49,달걀흰자,아쿠아파바,달걀흰자 → 아쿠아파바,0.6,비건 대체
50,아쿠아파바,달걀흰자,아쿠아파바 → 달걀흰자,0.6,비건 대체
51,닭가슴살,두부,닭가슴살 → 두부,0.8,채식 대체
52,두부,닭가슴살,두부 → 닭가슴살,0.8,단백질 보강
53,소고기,렌틸콩,소고기 → 렌틸콩,0.75,채식 대체
54,렌틸콩,소고기,렌틸콩 → 소고기,0.75,감칠맛 보강
55,소고기,콩고기,소고기 → 콩고기,0.8,채식 대체
56,콩고기,소고기,콩고기 → 소고기,0.8,채식 대체
57,소고기,새송이버섯,소고기 → 새송이버섯,0.7,칼로리 절감
58,새송이버섯,소고기,새송이버섯 → 소고기,0.7,감칠맛 증대
59,삼겹살,닭가슴살,삼겹살 → 닭가슴살,0.7,칼로리 절감
60,닭가슴살,삼겹살,닭가슴살 → 삼겹살,0.7,풍미 증대
61,소고기,돼지고기,소고기 → 돼지고기,0.9,비용 절감
62,돼지고기,소고기,돼지고기 → 소고기,0.9,풍미 향상
63,참치,병아리콩,참치 → 병아리콩,0.8,채식 대체
64,병아리콩,참치,병아리콩 → 참치,0.8,감칠맛 보강
65,새우,느타리버섯,새우 → 느타리버섯,0.7,채식 대체
66,느타리버섯,새우,느타리버섯 → 새우,0.7,해산물 풍미
67,밀가루,통밀가루,밀가루 → 통밀가루,0.9,영양 강화
68,통밀가루,밀가루,통밀가루 → 밀가루,0.9,식감 개선
69,밀가루,쌀가루,밀가루 → 쌀가루,0.8,글루텐 프리
70,쌀가루,밀가루,쌀가루 → 밀가루,0.8,식감 개선
71,밀가루,아몬드가루,밀가루 → 아몬드가루,0.7,저탄수화물
72,아몬드가루,밀가루,아몬드가루 → 밀가루,0.7,식감 개선
73,밀가루,메밀가루,밀가루 → 메밀가루,0.8,글루텐 프리
74,메밀가루,밀가루,메밀가루 → 밀가루,0.8,식감 개선
75,밀가루,옥수수전분,밀가루 → 옥수수전분,0.5,글루텐 프리
76,옥수수전분,밀가루,옥수수전분 → 밀가루,0.5,재료 대용
77,빵가루,아몬드가루,빵가루 → 아몬드가루,0.6,저탄수화물
78,아몬드가루,빵가루,아몬드가루 → 빵가루,0.6,식감 개선
79,흰빵,통밀빵,흰빵 → 통밀빵,0.9,영양 강화
80,통밀빵,흰빵,통밀빵 → 흰빵,0.9,부드러움
81,또띠야,상추,또띠야 → 상추,0.5,저탄수화물
82,상추,또띠야,상추 → 또띠야,0.5,포만감 증가
83,밥 (백미),현미,밥 (백미) → 현미,0.8,영양 강화
84,현미,밥 (백미),현미 → 밥 (백미),0.8,식감 개선
85,밥 (백미),콜리플라워 라이스,밥 (백미) → 콜리플라워 라이스,0.6,저탄수화물
86,콜리플라워 라이스,밥 (백미),콜리플라워 라이스 → 밥 (백미),0.6,포만감 증대
87,밥 (백미),퀴노아,밥 (백미) → 퀴노아,0.7,고단백 곡물
88,퀴노아,밥 (백미),퀴노아 → 밥 (백미),0.7,풍미 개선
89,파스타 면,애호박면,파스타 면 → 애호박면,0.7,저탄수화물
90,애호박면,파스타 면,애호박면 → 파스타 면,0.7,포만감 증가
91,파스타 면,곤약면,파스타 면 → 곤약면,0.65,칼로리 절감
92,곤약면,파스타 면,곤약면 → 파스타 면,0.65,포만감 증가
93,감자,콜리플라워,감자 → 콜리플라워,0.6,칼로리 절감
94,콜리플라워,감자,콜리플라워 → 감자,0.6,풍미 증진
95,감자,무,감자 → 무,0.5,저탄수화물
96,무,감자,무 → 감자,0.5,감칠맛 향상
97,피자 도우,콜리플라워 도우,피자 도우 → 콜리플라워 도우,0.7,저탄수화물
98,콜리플라워 도우,피자 도우,콜리플라워 도우 → 피자 도우,0.7,식감 향상
99,라자냐 면,가지,라자냐 면 → 가지,0.6,저탄수화물
100,가지,라자냐 면,가지 → 라자냐 면,0.6,식감 향상
101,젤라틴,한천,젤라틴 → 한천,0.8,비건 대체
102,한천,젤라틴,한천 → 젤라틴,0.8,질감 향상
103,파마산 치즈,영양효모,파마산 치즈 → 영양효모,0.75,비건 대체
104,영양효모,파마산 치즈,영양효모 → 파마산 치즈,0.75,풍미 향상
105,밀크초콜릿,다크초콜릿,밀크초콜릿 → 다크초콜릿,0.8,당분 제한
106,다크초콜릿,밀크초콜릿,다크초콜릿 → 밀크초콜릿,0.8,단맛 증가
107,카카오 가루,캐롭 가루,카카오 가루 → 캐롭 가루,0.7,카페인 제한
108,캐롭 가루,카카오 가루,캐롭 가루 → 카카오 가루,0.7,풍미 증대
109,땅콩버터,아몬드버터,땅콩버터 → 아몬드버터,0.9,알레르기 대체
110,아몬드버터,땅콩버터,아몬드버터 → 땅콩버터,0.9,취향
111,식용유,올리브유,식용유 → 올리브유,0.85,건강한 지방
112,올리브유,식용유,올리브유 → 식용유,0.85,비용 절감
113,사프란,강황,사프란 → 강황,0.5,비용 절감
114,강황,사프란,강황 → 사프란,0.5,풍미 향상
115,잣,호두,잣 → 호두,0.8,비용 절감
116,호두,잣,호두 → 잣,0.8,풍미 향상
117,버터,아보카도,버터 → 아보카도,0.6,콜레스테롤 감소
118,아보카도,버터,아보카도 → 버터,0.6,풍미 향상
119,간장,코코넛 아미노,간장 → 코코넛 아미노,0.8,글루텐 프리
120,코코넛 아미노,간장,코코넛 아미노 → 간장,0.8,감칠맛 증진
121,멸치액젓,간장,멸치액젓 → 간장,0.7,채식 대체
122,간장,멸치액젓,간장 → 멸치액젓,0.7,풍미 향상
123,쇠고기 육수,야채 육수,쇠고기 육수 → 야채 육수,0.8,채식 대체
124,야채 육수,쇠고기 육수,야채 육수 → 쇠고기 육수,0.8,풍미 향상
125,멸치 육수,다시마 육수,멸치 육수 → 다시마 육수,0.8,채식 대체
126,다시마 육수,멸치 육수,다시마 육수 → 멸치 육수,0.8,풍미 향상
127,시금치,케일,시금치 → 케일,0.9,영양 강화
128,케일,시금치,케일 → 시금치,0.9,식감 향상
129,마요네즈,머스타드,마요네즈 → 머스타드,0.7,칼로리 절감
130,머스타드,마요네즈,머스타드 → 마요네즈,0.7,감칠맛 향상
131,바닐라 익스트랙,바닐라 빈,바닐라 익스트랙 → 바닐라 빈,0.9,풍미 향상
132,바닐라 빈,바닐라 익스트랙,바닐라 빈 → 바닐라 익스트랙,0.9,비용 절감
